Round 1 | Tit For Tat played COOPERATE | Always Defect played DEFECT
Round 2 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 3 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 4 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 5 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 6 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 7 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 8 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 9 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 10 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 11 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 12 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 13 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 14 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 15 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 16 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 17 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 18 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 19 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 20 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 21 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 22 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 23 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 24 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 25 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 26 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 27 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 28 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 29 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 30 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 31 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 32 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 33 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 34 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 35 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 36 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 37 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 38 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 39 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 40 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 41 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 42 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 43 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 44 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 45 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 46 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 47 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 48 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 49 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 50 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 51 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 52 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 53 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 54 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 55 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 56 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 57 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 58 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 59 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 60 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 61 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 62 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 63 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 64 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 65 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 66 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 67 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 68 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 69 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 70 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 71 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 72 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 73 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 74 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 75 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 76 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 77 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 78 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 79 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 80 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 81 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 82 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 83 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 84 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 85 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 86 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 87 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 88 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 89 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 90 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 91 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 92 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 93 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 94 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 95 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 96 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 97 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 98 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 99 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 100 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 101 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 102 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 103 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 104 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 105 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 106 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 107 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 108 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 109 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 110 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 111 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 112 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 113 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 114 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 115 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 116 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 117 | Tit For Tat played DEFECT | Always Defect played DEFECT
